SK_ID_CURR,TARGET
100001,0.2735239369419793
100005,0.5058373218460308
100013,0.12911933891540556
100028,0.32822929201455586
100038,0.6592013682719741
100042,0.18887513002164066
100057,0.11915837941955817
100065,0.40325987652028616
100066,0.1779713775656747
100067,0.49544718317321323
100074,0.4960751430826897
100090,0.3400238304703116
100091,0.736106222225961
100092,0.5451085446801077
100106,0.43315845219593324
100107,0.6752659869726779
100109,0.4177793010505572
100117,0.2266240392576614
100128,0.3986068260063582
100141,0.16493116125067236
100150,0.2218864658708832
100168,0.09788580736639332
100169,0.2895760731724021
100170,0.42033916664018417
100171,0.3433443659062865
100172,0.6445622846585904
100184,0.3980313572736083
100187,0.43358197988584185
100212,0.4698719242212526
100222,0.374136688043238
100223,0.18395471342896585
100232,0.15330018175033594
100241,0.6889840766008569
100245,0.16287968320866822
100253,0.2182190142815028
100256,0.458598732711727
100271,0.10258120649920359
100278,0.8071809632918788
100280,0.07559813750515502
100306,0.7716538671051298
100311,0.6691959209199932
100312,0.20302393901533605
100330,0.6044335055852168
100331,0.3527323962570875
100352,0.6058914071199686
100358,0.3518836346354938
100367,0.19950144378421839
100382,0.7060650733411951
100384,0.5642634925103279
100385,0.48877720089934656
100386,0.36997711614449336
100399,0.164676346028904
100404,0.41951324240887544
100416,0.1453260088940124
100422,0.5705619682005503
100426,0.26684307344472724
100438,0.33615691848536444
100444,0.6560447231793909
100445,0.776175269907412
100446,0.5307687302322979
100447,0.1628438996387796
100450,0.5388388364065886
100466,0.10894364058042813
100483,0.18315666479356954
100484,0.20307117322186527
100494,0.4927344357359707
100510,0.779072425983623
100512,0.0977692338928206
100517,0.26467639527053816
100548,0.29380794612524447
100551,0.2122871181709281
100552,0.50607373834428
100553,0.22052863400086636
100561,0.5853321497204836
100568,0.8997706080057887
100569,0.1284596380680734
100591,0.4931106852508403
100592,0.21071412958836358
100602,0.5022850100623213
100607,0.39189534123561687
100613,0.47223124512631987
100617,0.6339941471620122
100618,0.49004589521993086
100622,0.5632945590368599
100625,0.6126208052815536
100677,0.5751758411946856
100699,0.26431144074324764
100702,0.8312220314235863
100711,0.39998794521912384
100729,0.7020369088384636
100740,0.7861740226973334
100744,0.7837742592942301
100745,0.3383055609849958
100747,0.627028948349984
100751,0.7982166240744203
100752,0.39631864406962686
100753,0.7794285493163793
100754,0.7094940607457405
100760,0.26637977960129167
100762,0.5912777246986909
100763,0.33676431335412704
100765,0.17197805976479533
100770,0.5665086989370086
100772,0.1958303052877853
100777,0.25636665355726557
100791,0.18744898486149797
100792,0.08358779463896007
100797,0.21145105479419074
100823,0.31627040350235497
100826,0.18097007903971976
100830,0.3028171342808197
100836,0.8231786848785401
100872,0.4460715637453174
100910,0.5261106695519046
100913,0.671016823417467
100918,0.2621059911827779
100931,0.07847816906427024
100952,0.40842988748086273
100953,0.3386703420551892
